type,content,links
li,"5AkreditasiGulingkan subbagian Akreditasi5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)5.2Akreditasi Internasional5.2.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.2.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.2.3Sekolah Farmasi (SF)5.2.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.2.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.2.6Sekolah Teknik Elektro dan Informatika (STEI)5.2.7Fakultas Teknologi Industri (FTI)5.2.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.2.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.2.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.2.11Sekolah Bisnis dan Manajemen (SBM)","#Akreditasi #Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS) #Akreditasi_Internasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)_2 #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)_2 #Sekolah_Farmasi_(SF)_2 #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)_2 #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)_2 #Sekolah_Teknik_Elektro_dan_Informatika_(STEI)_2 #Fakultas_Teknologi_Industri_(FTI)_2 #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)_2 #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL)_2 #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK)_2 #Sekolah_Bisnis_dan_Manajemen_(SBM)_2"
li,"5.1Akreditasi Nasional5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA)5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH)5.1.3Sekolah Farmasi (SF)5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB)5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM)5.1.6Sekolah Teknik Elektro dan Informatika (STEI)5.1.7Fakultas Teknologi Industri (FTI)5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD)5.1.9Fakultas Teknik Sipil dan Lingkungan (FTSL)5.1.10Sekolah Arsitektur, Perencanaan, dan Pengembangan Kebijakan (SAPPK)5.1.11Fakultas Seni Rupa dan Desain (FSRD)5.1.12Sekolah Bisnis dan Manajemen (SBM)5.1.13Sekolah Pasca Sarjana (SPS)5.1.14Non Fakultas/Sekolah (NONFS)","#Akreditasi_Nasional #Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA) #Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH) #Sekolah_Farmasi_(SF) #Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB) #Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM) #Sekolah_Teknik_Elektro_dan_Informatika_(STEI) #Fakultas_Teknologi_Industri_(FTI) #Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD) #Fakultas_Teknik_Sipil_dan_Lingkungan_(FTSL) #Sekolah_Arsitektur,_Perencanaan,_dan_Pengembangan_Kebijakan_(SAPPK) #Fakultas_Seni_Rupa_dan_Desain_(FSRD) #Sekolah_Bisnis_dan_Manajemen_(SBM) #Sekolah_Pasca_Sarjana_(SPS) #Non_Fakultas/Sekolah_(NONFS)"
li,5.1.1Fakultas Matematika dan Ilmu Pengetahuan Alam (FMIPA),#Fakultas_Matematika_dan_Ilmu_Pengetahuan_Alam_(FMIPA)
li,5.1.2Sekolah Ilmu dan Teknologi Hayati (SITH),#Sekolah_Ilmu_dan_Teknologi_Hayati_(SITH)
li,5.1.3Sekolah Farmasi (SF),#Sekolah_Farmasi_(SF)
li,5.1.4Fakultas Ilmu dan Teknologi Kebumian (FITB),#Fakultas_Ilmu_dan_Teknologi_Kebumian_(FITB)
li,5.1.5Fakultas Teknik Pertambangan dan Perminyakan (FTTM),#Fakultas_Teknik_Pertambangan_dan_Perminyakan_(FTTM)
li,5.1.6Sekolah Teknik Elektro dan Informatika (STEI),#Sekolah_Teknik_Elektro_dan_Informatika_(STEI)
li,5.1.7Fakultas Teknologi Industri (FTI),#Fakultas_Teknologi_Industri_(FTI)
li,5.1.8Fakultas Teknik Mesin dan Dirgantara (FTMD),#Fakultas_Teknik_Mesin_dan_Dirgantara_(FTMD)
